,name,categories,genres,steamspy_tags,time_engaged_index,time_engaged_category,player_acclaim_index,player_acclaim_category,adopters_choice_index,adopters_choice_category,game_nexus_index,game_nexus_category
679,Christmas Time 2019,Single-player;Steam Achievements;Steam Leaderboards,Action;Adventure;Casual;Indie;Simulation,Action;Indie;Casual,0.03648148148148149,Average,0.5716666666666667,AboveAverage,0.1214814814814815,Average,0.24077777777777779,Average
680,Super Strawberry Man,Single-player;Steam Achievements;Full controller support,Action;Adventure;Casual;Indie,Action;Indie;Casual,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
681,Block King,Single-player;Online Multi-Player,Action;Casual;Indie;Massively Multiplayer,Action;Indie;Casual,0.0422093023255814,Good,0.6747674418604651,Excellent,0.12720930232558142,AboveAverage,0.2785813953488372,Good
682,Flywrench,Single-player;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Casual;Indie,Action;Indie;Casual,0.050588235294117656,Excellent,0.8255882352941176,Masterpiece,0.13558823529411768,Good,0.3338823529411765,Excellent
683,SMOKED,Single-player,Action;Casual;Indie,Action;Indie;Casual,0.03326086956521739,BelowAverage,0.513695652173913,BelowAverage,0.1182608695652174,BelowAverage,0.21952173913043477,Mediocre
684,Slay All Goblins,Single-player;Partial Controller Support,Action;Adventure;Casual;Indie,Action;Indie;Casual,0.030862068965517245,Subpar,0.4705172413793104,Subpar,0.11586206896551726,Subpar,0.2036896551724138,Subpar
685,Go Away My Fat,Single-player,Action;Casual;Indie,Action;Indie;Casual,0.04227272727272728,Good,0.6759090909090909,Excellent,0.1272727272727273,AboveAverage,0.279,Good
686,Adventure Hero,Single-player,Action;Casual;Indie,Action;Indie;Casual,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
687,SpaceShot,Single-player;Steam Achievements;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,0.03732758620689655,Average,0.586896551724138,AboveAverage,0.12232758620689657,Average,0.24636206896551727,Average
688,Super Pillow Fight,Single-player;Local Multi-Player;Full controller support,Violent;Action;Casual;Indie,Action;Indie;Casual,0.03785714285714285,Average,0.5964285714285714,AboveAverage,0.12285714285714286,Average,0.24985714285714286,Average
689,Zombie Killers,Single-player,Action;Casual;Indie;Simulation,Action;Indie;Casual,0.031190476190476196,Mediocre,0.4764285714285715,Mediocre,0.1161904761904762,Mediocre,0.20585714285714288,Subpar
